"","DIETS","phytoplankton","infauna","amphipods","epibenthic","micro-zoop","copepods","euphausiids","carniv-zoops","small jellies","large jellies","pandalid shp","benthic shp","Dungeness","tanner crb","mesopelagics","Benthic fish","surf perch","Other cephal.","Market squid","Sardine","Anchovy","Herring","Pacific Mackerel","Sandlance","White bait smelt","Other smelt","Saury","Juv. rock.","Juv. hake","Juv. flat.","Juv. round.","Juv. thorny.","Yellowtail rock.","Black rock.","Nearshore rock.","Yelloweye rock.","Greenstriped","Shelf rock.","Shortbelly","Petrale sole","Halibut","Hake","Lingcod","Arrowtooth","Sablefish","Albacore","Salmon","Grenadiers","Dogfish","Canary rock.","P. Ocean Perch","Widow rock.","Splitnose rock.","Slope rock.","Shortspine thorny.","Longspine thorny.","Flatfish","Skates","Sharks","Common murre","Cassin's auklet","Rhino. auklet","Tufted Puffin","Cali. gull","Western Gull","Kittiwake","Albatross","Fulmar","Shearwater","Leach's S. Petrel","Transient Orcas","Resident Orcas","Porpoises","Humpback whale","Minke whale","Fin whale","Sperm whale","Harbor seals","Sea Lions","Juv. Ele. Seal","Adult N. Ele. Seal","Fur seals","Blue whale","Gray whale","Dolphins","Brandt's corm.","Double corm.","Pelagic cormorant","Murrelet","Pigeon Guillemot","Caspian tern","Brown Pelican"
"1","phytoplankton","0","0","0.19331782208768","0","0.763970961410014","0.780553389460178","0.900224599178379","0.031247044244554","0.533651355476443","0","0","0","0","0","0","0","0","0","0","0.251357373646294","0.315657574571964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","infauna","0","0","0","0.419535616600362","0","0","0","0","0","0","0.260656441598801","0.303896892558715","0.374298305458884","0.794864034743844","0","0.275960203436173","0.348078007645643","0","0","0.00120778490636819","0","0","0","0","0.0487410864344702","0.00337345449844097","0","0.0130413240001074","0","0.613897083970131","0","0","0","0","0.0249919800828846","0","0","0.00199770851459716","0","0","0.00271810281988026","0.00239008897415496","0","0.00282656828203964","0.020957031129354","0","0","0.145095470766251","0","0","0","0","0","0","0.0395732407020946","0.154658243026835","0.774509483866815","0.024442735387172","0","0","0","0","0.0071114101217658","0","0.00794129221976382","0","0.000878909953654838","0","0.0293631876649866","0.00828947875860809","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0118885974783411","0","0.0134371928785795","0","0.00316458841729874","0","0","0","0"
"3","amphipods","0","0","0","0.0118519803648262","0","0","0","0.0311075011068246","0","0","0.0126811638082525","0.0396414508672747","0.0307256371293053","0","0.0209888644184143","0.198030225905456","0.0902471005417564","0.109101736473903","0.00539988519588422","0.00859762902468255","0","0.0440721035747032","0.00830231097889811","0.413763411678431","0.0066557702930661","0.167963412753148","0.0408174744591688","0.00651320152073788","0.000975426184539001","0.203266617126091","0.00645208733503087","0","0.00366175516839133","0.00436556888480263","0.00110166153967297","0","0.00445374106111113","0.00451857017801173","0.0637006875336242","0.00201866995161253","0","0","0","0.000358383206597004","0.00103902220335858","0","0.00888183705106874","0.0563100270380124","0.00141803336450084","0.000279001276123262","0.0334813108011828","0.0411338701084979","0.0203006835524262","0.012592336016301","0.0551570664513255","0.027647762886895","0.0427266359907035","0.0110666231411301","0","0","0.0213857403319048","0","0.00199735833671658","0.00235643374081759","0","0","0","0.0151101969905797","0.00085521351112479","0.0228429625982279","0","0","0","0","0.00331029575775645","0","0","0","0","0","0","0","0","0.62943492250352","0","0","0","0","0","0","0","0"
"4","epibenthic","0","0","0","0","0","0","0","0","0","0","0.0447733687636006","0.518324520485307","0.206792464860567","0.111917068817497","0","0.401366578005343","0.228560627767257","0.0100485226544692","0","0","0","0.00206954930583133","0.0388526537480395","0","0.285410650252445","0.239033231813724","0","0.0184014176142524","0.00674419716150129","0.169510365530442","0","0","0.00325470690361087","0.0212275598320214","0.0799935679166722","0.171304778702869","0.0523393824334111","0.0425278876624192","0","0.146780257602565","0.0258569237719181","0.00560422592995321","0.0521870870209778","0.0133708818839535","0.044252573412518","0","0","0.145814560072866","0.0463189137884612","0","0.00292351715171181","0","0.000352966014877822","0.0338628601640787","0.0665834909960948","0.20779645490937","0.14726460051853","0.122964073971525","0.00294421740504103","0","0.00274872719351026","0","0","0","0.00111577207082801","0","0","0","0.0019887243556819","8.48913521646142e-05","0","0","0","0","0.00275541555277009","0","0","0.0120558634230624","0.00804798220115488","0","0.0400679491939953","0","0","0.0194295451172752","0","0","0","0","0","0","0","0"
"5","micro-zoop","0","0","0","0","0","0.219446610539822","0.0459520579370009","0.0388495011862665","0.241378279501747","0.0384519126336728","0","0","0","0","0","0","0","0","0","0.0108985764517109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","copepods","0","0","0","0","0","0","0.0538233428846196","0.508108519912859","0","0.350615377013186","0.0939857599223474","0","0","0","0.346263493925665","0","0.259468787064941","0.0650918194269054","0.016709738528824","0.321989728636908","0.122657539611677","0.189926933542981","0.132938972733988","0.216081497006123","0.0119083990617015","0.177834617558895","0.0429870666165561","0.373397931696293","0.0885604277497993","0","0.814755371341654","0.180211534394712","0","0","0","0","0.00280081670831984","0.0168794621054993","0.065788479993865","0","0","0","0","0","0","0","0.0268356386466836","0","0","0","0","0.00237327864475544","0.00141830764080386","0","0","0","0.007033837573819","0","0","0","0.393721076623417","0","0.00122299778505545","0","0","0","0","0.0281409621341784","0","0.00029092068820698","0","0","0","0","0.0141009866093737","0.0162623952565633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","euphausiids","0","0","0","0","0","0","0","0.321474329583448","0","0.548765535550204","0.204653834787773","0","0","0","0.517397022056926","0","0","0.446013835010207","0.207270692040771","0.387848949359459","0.440257643920314","0.660550424518974","0.628219096211687","0.270638217937716","0.297818799952445","0.143867012416036","0.665562380923212","0.457162815400189","0.800009663603482","0","0.124803310670708","0.512753102145864","0.555819311312936","0.238910755104658","0.093763716350682","0","0.153663300327223","0.489626371480042","0.823790967544762","0.00180511068046332","0","0.713590971247761","0.00585917396417145","0.0761071906224765","0.0801926858587848","0.00368197062140972","0.155074310403033","0","0.240600083635603","0.917443369930671","0.752310905713885","0.30004041306048","0.742203000668323","0.707425481477102","0","0","0.00517231730282964","0.0522781857233482","0.0147109067106078","0.00810652186578242","0.417011057567132","0.104939361070275","0.0659242211906225","0","0.00659532249208798","0.0102557531837638","0","0.0253587922285941","0.0657524953852792","0.313394119981569","0","0","0","0.302862232750003","0.495485982305564","0.782892720488302","0","0","0","0","0.00240398444724991","0","0.510003144354389","0.000387093557732589","0","0","0","0","0.149930293660665","0","0","0"
"8","carniv-zoops","0","0","0","0","0","0","0","0","0","0.0131328323941629","0.0340584932831485","0","0","0","0.0318236792909123","0","0","0.192208296182104","0.652246504511088","0.00216811887187374","0.0210729543771439","0.0798505122388962","0.0118334008278107","0.0947446588448456","0.263311633415496","0.136620346208259","0","0.00302271368963144","0.0149303258158524","0","0.0322050476718622","0.276961954097876","0.0284605523298757","0.115478951656076","0.0940502425271572","0","0.353597484977065","0.0105257400265009","0.0467198649277492","0","0","0.0188942517813729","0.00869746534745932","0.000192327046050563","0.0118260802674404","0.00224955719403926","0.183671579605347","0","0.00387389836226688","0.0122559586093615","0.0768858223989156","0.192074373085885","0.190991090146461","0.0497323891966998","0.00882948882520978","0","7.17371938051056e-05","0.00750829585773503","0","0","0.00359562472706617","0","0","0","0","0","0.000609968686609404","0","0","0","0","0","0","0","0.00119254513110838","0.0139729447185005","0","0","0","0","0.0100521945704902","0","0","0.00788228577580705","0.0325583164314478","0","0","0.00577163869842722","0.0409270983450426","0","0","0"
"9","small jellies","0","0","0","0","0","0","0","0.0455971788571274","0","0.049034342408775","0","0","0","0","0.0369576373379569","0","0","0.125461010797472","0.00737729828504871","0.013164178335587","0.0933148885539523","0.00296708371371425","0.0368538410239077","0","0","0.052411153942964","0","0.000178775899668859","0","0","0","0.0300734093615481","0.0603681754191205","0.0189820534778616","0.151441577218603","0","0","0","0","0","0","0","0","0","0.0362676623932498","0","0.0078506610740537","0","0","0.000761860717778124","0","0.323153813355142","0","0","0.00960960617876026","0.0104625649653558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00864157700298054","0","0","0","0","0.00918791320402325","0.0170886075023733","0","0","0","0","0","0","0","0","0","0","0"
"10","large jellies","0","0","0","0","0","0","0","0.0236159251089202","0","0","0","0","0","0","0.0278652547788906","0","0","0","0.0748142264373688","0","0","0","0.0149362313747356","0","0","0.0395287084994534","0","0","0","0","0","0","0.00908806273566119","0.0343582794009002","0.0924661689010916","0","0","0","0","0","0","0","0","0","0.0341154219225138","0","0.00124774614615127","0","0.0422256790284725","0","0","0.0427686812957576","0","0.00590310138913805","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00196250053032473","0.216719713772554","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
