"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93"
"1",0,0,0.246831895507122,0,0.766725175378018,0.855352803099348,0.878616587092221,0.0363652776104629,0.506163513703684,0,0,0,0,0,0,0,0,0,0,0.267906076408198,0.281019189661156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0.451513609637782,0,0,0,0,0,0,0.234734136686236,0.368121388542043,0.390701264256463,0.796144677775863,0,0.281405410571528,0.413674538515907,0,0,0.00131270883564705,0,0,0,0,0.0434610031627731,0.00147936590439646,0,0.00738740733178638,0,0.560174078957321,0,0,0,0,0.0258643558065716,0,0,0.00224509619713102,0,0,0.00323530929075297,0.000489359018112621,0,0.0000833696327698571,0.0123420086586561,0,0,0.158307240956852,0,0,0,0,0,0,0.0584473778320041,0.166892837951107,0.785813492631947,0.0208201564652182,0,0,0,0,0.0175121895542576,0,0.00615037630949994,0,0.00270815763721163,0,0.0279066964698475,0.00752618251988403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331103286805513,0,0.00906397463577467,0,0.00286795404848792,0,0,0,0,0
"3",0,0,0,0.0204369331549568,0,0,0,0.0191153442878302,0,0,0.0220455252787685,0.0176027768507501,0.0204614624623428,0,0.0353917562182745,0.197964802692608,0.0905835417435573,0.05871408891621,0.00282845388376349,0.00572693043748701,0,0.0403179352672271,0.00758558245468503,0.4247234379898,0.00612116220529225,0.180502316735976,0.0253185903335923,0.00415042095574216,0.00303907407367076,0.22130382463236,0.00742722155907907,0,0.000620074618894356,0.00621076164427778,0.000314529854467882,0,0.0022221794627021,0.00208329096947614,0.0627494088412382,0.00596726507453659,0,0,0,0.0000210908762171464,0.00111242157012919,0,0.00818372474320639,0.0551618926729687,0.0049345282424367,0.000896587257367049,0.0401900021338775,0.0436040970149436,0.0201935577328743,0.0222547662443408,0.0511428788630632,0.0382144996855077,0.0535752179580497,0.00637703720365001,0,0,0.0213202238315503,0,0.00116720246867717,0.00617573903891059,0,0,0,0.0135113694945535,0.00509685180579977,0.0161229875661131,0,0,0,0,0.0177837752870626,0,0,0,0,0,0,0,0,0.649597760342692,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0.0434615775701381,0.42339073019893,0.195170831914451,0.113267009772949,0,0.401387203837363,0.208282130455999,0.00336112449304394,0,0,0,0.00123277472575236,0.0594571698693828,0,0.268132557503491,0.253772936553847,0,0.0161311284860614,0.00479672765399141,0.215732815615198,0,0,0.00363287912008135,0.024795152131093,0.0757432417582395,0.174202347752171,0.0626346505492999,0.0447990059645983,0,0.136729078915361,0.0204753778380706,0.00217876748318962,0.0421317800422107,0.0210359923113417,0.0402497972100513,0,0,0.140839886115844,0.0357373992211909,0,0.00568618423352146,0,0.000188743746415104,0.0181139873674227,0.0464710431077147,0.19332381471315,0.132258554770107,0.11306414427717,0.00681262253682443,0,0.0129958671734561,0,0,0,0.00354027950805569,0,0,0,0.00372690925737001,0.00189736263747144,0,0,0,0,0.000505998379663274,0,0,0.0314424362248595,0.00460705390353758,0,0.0527136041423407,0,0,0.0161180969748137,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0.144647196900652,0.0626549321719058,0.0339931737580916,0.240143122223331,0.0190549102534565,0,0,0,0,0,0,0,0,0,0.0155506303519049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0.0587284807358728,0.49188733760195,0,0.30342192915143,0.111098068604742,0,0,0,0.290957177102026,0,0.224845210263897,0.0812788809614343,0.0239616243702503,0.308678773816093,0.126468828320033,0.1906080155913,0.131438914636964,0.233092459957266,0.0140384377714302,0.150050600409135,0.037942995257478,0.417677677480853,0.0914209116381466,0,0.831594348361799,0.143152140515778,0,0,0,0,0.00373389042012896,0.0211254861752094,0.0903973384831566,0,0,0,0,0,0,0,0.0329917995894176,0,0,0,0,0.000778900452383277,0.00329751044532601,0,0,0,0.00232388738690254,0,0,0,0.389792586744315,0,0.00702549289698488,0,0,0,0,0.0241904923187778,0,0.000687237655788875,0,0,0,0,0.0160328113232725,0.0157165099141785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0.35222677161339,0,0.633336100136782,0.198898479137626,0,0,0,0.528263630392805,0,0,0.485120595605616,0.223857268946879,0.379018624558784,0.455787518185049,0.66156560474465,0.620584429493611,0.245355516694952,0.300068293368793,0.148710400097755,0.68694132891435,0.425162230866272,0.808570229905213,0,0.121243629907506,0.534797980229489,0.570840529123345,0.245261060519268,0.0986842788555889,0,0.140804543386256,0.510912727688149,0.812176483579211,0.00330883008755134,0,0.724047818734132,0.00574684425657432,0.0547797273342727,0.0825495458633551,0.0033188061597042,0.170117190626849,0,0.222352090597523,0.910082870558413,0.757707187244528,0.288276061566769,0.745116172438845,0.706314972969628,0,0,0.00502848376810807,0.0524293319756877,0.0136538070356349,0.0100750046870642,0.393249835575655,0.0956585237172427,0.0411488808699723,0,0.0108393165773399,0.0115794201030947,0,0.0316223007778779,0.0568556507231708,0.276068064702032,0,0,0,0.282908750193857,0.524801903026214,0.776598061481984,0,0,0,0,0.0051635544458122,0,0.520220314606362,0.000012840427186275,0,0,0,0,0.130089955754157,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0.00624476243923372,0.0304669775467032,0,0,0,0.043117600206345,0,0,0.168915704914156,0.630327743188179,0.00430079319010075,0.0200607825359736,0.0835062123410756,0.0151810877470848,0.0868139485149886,0.28440336449136,0.127605783493321,0,0.00312214957961498,0.0147132733416502,0,0.0226128235840643,0.219555842027797,0.0263349420399108,0.110160804810107,0.0989834708893797,0,0.347823630896553,0.00607971466016734,0.0346767690963939,0,0,0.0190336375229046,0.0101743351730607,0.0017151898839783,0.0155250991368007,0.00288098508873926,0.188792370028621,0,0.0066852825803427,0.00847418646701388,0.0720643349250374,0.172602432693703,0.182335363070489,0.0589615870076585,0.00644888035714826,0,0.000360771602332428,0.00503753037824095,0,0,0.00344455351974836,0,0,0,0,0,0.00148774868554114,0,0,0,0,0,0,0,0.011702515131906,0.00827078486946239,0,0,0,0,0.0115691039069999,0,0,0.0179601011441715,0.0497067336187431,0,0,0.00647247491983272,0.0331570314841081,0,0,0,0
"9",0,0,0,0,0,0,0,0.045162766332934,0,0.0379422980190982,0,0,0,0,0.0510268768293903,0,0,0.110668436123469,0.0103879326223429,0.0157280917381528,0.112028772192295,0.00337264444862373,0.0231354414345926,0,0,0.0693873670178856,0,0.00134541030109308,0,0,0,0.102494037226935,0.0573645967621011,0.0291100483837408,0.137214484851004,0,0,0,0,0,0,0,0,0,0.0317262434873468,0,0.0106325905806783,0,0,0.00110969807159556,0,0.363667897805665,0,0,0.00689527054961603,0.0119399292215844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337823599784991,0,0,0,0,0.0208367171255204,0.0143443403678022,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0.0212493287953413,0,0,0,0,0,0,0.0259370241251764,0,0,0,0.0707993639135984,0,0,0,0.0104620053592052,0,0,0.0325030567781394,0,0,0,0,0,0,0.00789920229506951,0.0267722869246058,0.107063343056491,0,0,0,0,0,0,0,0,0,0.0264846238172899,0,0.000663402762386563,0,0.0526749347960014,0,0,0.0328655609987989,0,0.00382975938270899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369010856985881,0.206072387738942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
