"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"52","Widow rock.",0.28330514939007,-1,0.122208710276721,2.40801101355444,0,0.2,0,NA,NA,1,0.00494534888315222,0
"53","Splitnose rock.",0.288726806111771,-1,0.0667352398891037,2.01251218371974,0,0.2,0,NA,NA,1,0.00117650905476791,0
"54","Slope rock.",0.223460093772261,-1,0.0730959153937539,1.7412668959942,0,0.2,0,NA,NA,1,0.00377283026366312,0
"55","Shortspine thorny.",1.57099941430839,-1,0.0513494823232296,0.391930466141906,0,0.2,0,NA,NA,1,0.00398258555390864,0
"56","Longspine thorny.",0.328347447557072,-1,0.122419064126289,0.373717699589251,0,0.2,0,NA,NA,1,0.00380444725039054,0
"57","Flatfish",4.01122365762389,-1,0.396655918379205,1.80954781204261,0,0.2,0,NA,NA,1,0.0440483854825186,0
"58","Skates",0.339138474307094,-1,0.24775670425459,1.86468153726942,0,0.2,0,NA,NA,1,0.00388828458586203,0
"59","Sharks",-1,0.72437571240589,0.207804911332487,3.70455228888016,0,0.2,0,NA,NA,1,0.00258873416125273,0
"60","Common murre",0.00341465869883948,-1,0.0578703000808198,170.420783200715,0,0.2,0,NA,NA,1,0,0
"61","Cassin's auklet",0.00151684559409165,-1,0.228186953249381,271.531832563238,0,0.2,0,NA,NA,1,0,0
"62","Rhino. auklet",0.000285124147047056,-1,0.128137376639947,199.035864293607,0,0.2,0,NA,NA,1,0,0
"63","Tufted Puffin",0.000210811987471609,-1,0.0843020063512794,188.018176725879,0,0.2,0,NA,NA,1,0,0
"64","Cali. gull",0.000718394189456779,-1,0.0790293622996549,192.299589610994,0,0.2,0,NA,NA,1,0,0
"65","Western Gull",0.00078612852745336,-1,0.144783702539146,163.483546321395,0,0.2,0,NA,NA,1,0,0
"66","Kittiwake",0.000132630931357817,-1,0.0946913314340908,206.28823643044,0,0.2,0,NA,NA,1,0,0
"67","Albatross",0.000825274762590528,-1,0.0305985229406209,118.279704810118,0,0.2,0,NA,NA,1,0,0
"68","Fulmar",0.000244495670752991,-1,0.0241042488231654,201.552931623985,0,0.2,0,NA,NA,1,0,0
"69","Shearwater",0.00359813072385353,-1,0.0524319934303984,202.894644202682,0,0.2,0,NA,NA,1,0,0
"70","Leach's S. Petrel",0.00107689884979005,-1,0.118408213204317,399.292121387288,0,0.2,0,NA,NA,1,0,0
"71","Transient Orcas",0.002600735848699,-1,0.0248245390109095,15.1150034826457,0,0.2,0,NA,NA,1,0,0
"72","Resident Orcas",0.00118045548897663,-1,0.0221164745886281,14.4789981158766,0,0.2,0,NA,NA,1,0,0
"73","Porpoises",0.0208246065392728,-1,0.126037737312932,39.0994043931469,0,0.2,0,NA,NA,1,0,0
"74","Humpback whale",0.257458633507615,-1,0.0389347857381355,7.26657575858918,0,0.2,0,NA,NA,1,0,0
"75","Minke whale",0.00564892153914468,-1,0.0508473474452618,8.27493259207698,0,0.2,0,NA,NA,1,0,0
"76","Fin whale",0.173951712024371,-1,0.0410548977608645,6.09745444974797,0,0.2,0,NA,NA,1,0,0
