"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.735862298519351,125.63972054876,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.614338282682002,2.53387081315875,10.8455607575269,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.790693439170718,3.49805715065331,25.2414193955484,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.634387869294733,2.03520579264442,11.5277953227959,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.55600305730477,80.9958445369399,261.823714626328,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.503676393255591,13.062309789866,92.4455341052445,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.818308162875474,6.87079048214906,38.9504627005898,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.806175875570625,1.80611632741622,8.04516270331806,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.710030762013048,10.8901551532479,26.8788594420921,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.776840370520949,3.43690403993214,16.0151212908626,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.671140552405268,1.98330405772319,12.7592744437646,0,0.2,0,NA,NA,1,0.102518510673136,0
"12","benthic shp",-1,0.504155361931771,2.39261305196042,11.9928085451697,0,0.2,0,NA,NA,1,0.00010135786271205,0
"13","Dungeness",-1,0.681285059545189,0.772208212663237,3.76150314083074,0,0.2,0,NA,NA,1,0.0904678371867534,0
"14","tanner crb",-1,0.697964874468744,0.400101704256671,1.26702413321436,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",8.72350576659749,-1,0.63441780682367,3.0894740888433,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.751680985186249,0.438370938731524,2.65389799516785,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.552689369115978,1.27274658188816,4.15723570701695,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.737247584573925,2.24558489107498,7.75752145389106,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.849207942374051,2.47078556558278,12.041170141627,0,0.2,0,NA,NA,1,0.296893608163774,0
"20","Sardine",2.76203860473303,-1,0.544531953101183,3.82213759747062,0,0.2,0,NA,NA,1,0.490522236005641,0
"21","Anchovy",1.3122621567606,-1,1.21609909364798,4.87739801302263,0,0.2,0,NA,NA,1,0.0383566660262661,0
"22","Herring",0.633417327524954,-1,1.74185970922482,6.59397486384551,0,0.2,0,NA,NA,1,0.00692619951568913,0
"23","Pacific Mackerel",0.499051804372699,-1,0.478716070088691,7.75409486720042,0,0.2,0,NA,NA,1,0.0239327239945294,0
"24","Sand lance",-1,0.554407192114741,1.10604737151098,2.1135680765074,0,0.2,0,NA,NA,1,0,0
"25","Whitebait smelt",0.0839749389369119,-1,1.29798532610001,6.28589265765926,0,0.2,0,NA,NA,1,0,0
"26","Other smelt",-1,0.879004228673875,1.28719835990533,8.2002856503135,0,0.2,0,NA,NA,1,0,0
"27","Saury",0.550372070778107,-1,1.43506947929473,3.33614964545808,0,0.2,0,NA,NA,1,0,0
