"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.731280970736407,105.601048714274,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.898469171021134,3.11234892234426,9.38363578837692,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.753444749861956,3.36864536521215,26.7816610879017,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.731311454251409,2.52826507872936,8.33697167295574,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.691744796745479,121.560361339223,306.849897372245,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.713959276676178,12.6153712859656,94.2305568782854,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.560782965924591,5.77789541077801,35.7313897084025,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.590272557828575,2.036171001933,12.3246882551755,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.898826337046921,11.0358995637255,26.6963694551798,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.771805206313729,3.03231384240322,13.8352031085503,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.651194697804749,2.15174996629119,9.41605237485171,0,0.2,0,NA,NA,1,0.0880659133011847,0
"12","benthic shp",-1,0.519903569668531,2.63427507485087,8.92729081472743,0,0.2,0,NA,NA,1,0.000109729334381917,0
"13","Dungeness",-1,0.8990114223212,0.726596846730317,4.5745683675437,0,0.2,0,NA,NA,1,0.0883587995828,0
"14","tanner crb",-1,0.683351086080074,0.294308116961091,1.64721721124677,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",10.8683469313862,-1,0.58616753557314,2.81047607687691,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.89112826725468,0.543354041557441,2.42235235257758,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.658752134814858,1.35715986896629,5.58685344981742,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.689198117703199,1.68373696883248,4.72835615531635,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.789012329932302,3.10842538368572,9.97357917213582,0,0.2,0,NA,NA,1,0.241748196328364,0
"20","Sardine",3.44064427453132,-1,0.504904268402409,6.63357779139139,0,0.2,0,NA,NA,1,0.545060252400571,0
"21","Anchovy",1.37803287131973,-1,1.29722150749643,5.92596668789689,0,0.2,0,NA,NA,1,0.0472179594541078,0
"22","Herring",0.751619037549719,-1,1.60849799971179,8.45270241687587,0,0.2,0,NA,NA,1,0.00627435715136408,0
"23","Pacific Mackerel",0.560691469506053,-1,0.461804529559667,6.90690579733816,0,0.2,0,NA,NA,1,0.02796697916601,0
"24","Sand lance",-1,0.733433287870139,1.02008237285184,4.65719435711332,0,0.2,0,NA,NA,1,0,0
"25","Whitebait smelt",0.0702848764574899,-1,1.58267851865116,6.30187021054533,0,0.2,0,NA,NA,1,0,0
"26","Other smelt",-1,0.837491461355239,1.48998808097216,5.05691175547677,0,0.2,0,NA,NA,1,0,0
"27","Saury",1.36123454537296,-1,1.32795149683808,3.1339843806014,0,0.2,0,NA,NA,1,0,0
"28","Juv. rock.",-1,0.518671653419733,1.35886943961164,7.63798601162276,0,0.2,0,NA,NA,1,0,0
"29","Juv. hake",-1,0.694423961825669,1.69468283495915,6.29097091435906,0,0.2,0,NA,NA,1,0,0
"30","Juv. flat.",-1,0.880090635456145,1.03820453418288,3.78361658265671,0,0.2,0,NA,NA,1,0,0
"31","Juv. round.",-1,0.895748837757856,1.47267889307566,6.47804219128823,0,0.2,0,NA,NA,1,0,0
"32","Juv. thorny.",-1,0.836687396652997,0.54631731210356,2.16252251699992,0,0.2,0,NA,NA,1,0,0
"33","Yellowtail rock.",0.496987819181561,-1,0.159841835501723,1.63251656013055,0,0.2,0,NA,NA,1,0.0157380931978545,0
"34","Black rock.",0.120248897731197,-1,0.142402692774343,1.97466507919713,0,0.2,0,NA,NA,1,0.0031068227732913,0
"35","Nearshore rock.",0.0823651767838855,-1,0.147117104099601,1.52697824049245,0,0.2,0,NA,NA,1,0.00138286493699894,0
"36","Yelloweye rock.",0.00749551459298744,-1,0.0529382333250236,2.01049627958102,0,0.2,0,NA,NA,1,4.177142876386e-05,0
"37","Greenstriped",0.113437978717716,-1,0.116363368063583,1.67006575399606,0,0.2,0,NA,NA,1,0.000118096820516267,0
"38","Shelf rock.",0.363386200648708,-1,0.144832240822615,2.2740446189536,0,0.2,0,NA,NA,1,0.00188080544914763,0
"39","Shortbelly",0.373789864838558,-1,0.262288505057711,2.08849415239828,0,0.2,0,NA,NA,1,2.40915186661817e-08,0
"40","Petrale sole",0.0603768337848011,-1,0.340696985197607,1.60556293166891,0,0.2,0,NA,NA,1,0.00567500690973454,0
"41","Halibut",0.209076754834577,-1,0.521158154847873,2.02946086565587,0,0.2,0,NA,NA,1,0.00293033388951696,0
"42","Hake",8.1427832844513,-1,0.418528610597393,1.74184497968982,0,0.2,0,NA,NA,1,0.834692821455422,0
"43","Lingcod",0.243447681977806,-1,0.235066396962437,2.36509322186081,0,0.2,0,NA,NA,1,0.00392193214433004,0
"44","Arrowtooth",0.326102715199631,-1,0.292344306496818,2.13771209610765,0,0.2,0,NA,NA,1,0.0310145331906249,0
"45","Sablefish",0.8019959680558,-1,0.0963754416095861,2.30128460395485,0,0.2,0,NA,NA,1,0.0244654430268066,0
"46","Albacore",0.101877451126553,-1,0.327291171329058,9.62629426058861,0,0.2,0,NA,NA,1,0.00395691156114345,0
"47","Salmon",0.128491695291029,-1,1.63713998675062,6.37924020192835,0,0.2,0,NA,NA,1,0.0229487309486448,0
"48","Grenadiers",0.483665846095793,-1,0.222573139522155,1.03708767123853,0,0.2,0,NA,NA,1,0.000357099737349612,0
"49","Dogfish",0.99440741047453,-1,0.0656689851647674,2.4501162982239,0,0.2,0,NA,NA,1,0.00444718756422462,0
"50","Canary rock.",0.0886779403347056,-1,0.115762841648927,1.70950129889637,0,0.2,0,NA,NA,1,0.00204046692219774,0
"51","P. Ocean Perch",0.146109432858427,-1,0.070416106989814,2.11966325510631,0,0.2,0,NA,NA,1,0.00212212223486709,0
"52","Widow rock.",0.317123798673399,-1,0.115285214831766,2.13507347930089,0,0.2,0,NA,NA,1,0.00513966096249374,0
"53","Splitnose rock.",0.346563129347557,-1,0.0740025215833264,1.71797027330798,0,0.2,0,NA,NA,1,0.00124535513311461,0
"54","Slope rock.",0.247894231268515,-1,0.0690788843852549,1.85136433796682,0,0.2,0,NA,NA,1,0.00260511049554453,0
"55","Shortspine thorny.",1.18383325617126,-1,0.052490883602337,0.618772559323578,0,0.2,0,NA,NA,1,0.00308148532177476,0
"56","Longspine thorny.",0.331406917531515,-1,0.125020620225252,0.303250853673762,0,0.2,0,NA,NA,1,0.00298822291501907,0
"57","Flatfish",4.20412262124511,-1,0.298964237175359,3.02289470720358,0,0.2,0,NA,NA,1,0.0478143113612597,0
"58","Skates",0.472954328762106,-1,0.173612896434921,2.66136277499591,0,0.2,0,NA,NA,1,0.00379860050230887,0
"59","Sharks",-1,0.710598950833082,0.151045761803051,2.24443040944804,0,0.2,0,NA,NA,1,0.00281778239579747,0
"60","Common murre",0.00332480806272495,-1,0.103804286427199,166.519009501139,0,0.2,0,NA,NA,1,0,0
"61","Cassin's auklet",0.00114639911356404,-1,0.229193846822143,262.412874668418,0,0.2,0,NA,NA,1,0,0
"62","Rhino. auklet",0.000289258124725009,-1,0.0975074653372499,200.504957767469,0,0.2,0,NA,NA,1,0,0
"63","Tufted Puffin",0.000191870969268233,-1,0.0631785897713145,165.919596521734,0,0.2,0,NA,NA,1,0,0
"64","Cali. gull",0.000862225302364897,-1,0.196404876776492,197.979722670347,0,0.2,0,NA,NA,1,0,0
"65","Western Gull",0.000946886926068574,-1,0.120345007078468,172.160605325427,0,0.2,0,NA,NA,1,0,0
"66","Kittiwake",0.000117213206263321,-1,0.0746401518734892,231.242482111436,0,0.2,0,NA,NA,1,0,0
"67","Albatross",0.000733613592339272,-1,0.0269002588887589,129.901693020688,0,0.2,0,NA,NA,1,0,0
"68","Fulmar",0.000233726969761052,-1,0.0516337843186693,213.861105457558,0,0.2,0,NA,NA,1,0,0
"69","Shearwater",0.00342517533214451,-1,0.0622720636896303,176.743947667472,0,0.2,0,NA,NA,1,0,0
"70","Leach's S. Petrel",0.000623653409774376,-1,0.067291727634591,370.702423079884,0,0.2,0,NA,NA,1,0,0
"71","Transient Orcas",0.00281377049387242,-1,0.0253813599092917,15.3571042880561,0,0.2,0,NA,NA,1,0,0
"72","Resident Orcas",0.00108351048433726,-1,0.0203597782132288,13.7378319558596,0,0.2,0,NA,NA,1,0,0
"73","Porpoises",0.0183556024531627,-1,0.0718141423833151,34.5286409909278,0,0.2,0,NA,NA,1,0,0
"74","Humpback whale",0.26618311360683,-1,0.0362920172004237,7.8702815985356,0,0.2,0,NA,NA,1,0,0
"75","Minke whale",0.00587197373643965,-1,0.0548926552182011,8.12480086048011,0,0.2,0,NA,NA,1,0,0
"76","Fin whale",0.126348081008465,-1,0.0447002476477236,6.43865967085201,0,0.2,0,NA,NA,1,0,0
"77","Sperm whale",0.0199404074326232,-1,0.0257803186516982,8.943146843504,0,0.2,0,NA,NA,1,0,0
"78","Harbor seals",0.014360852133365,-1,0.0788573040878162,24.8262263327692,0,0.2,0,NA,NA,1,0,0
"79","Sea Lions",0.0886048583684878,-1,0.0760390456456837,17.6056163303632,0,0.2,0,NA,NA,1,0,0
"80","Juv. Ele. Seal",0.0297362174054207,-1,0.296325209278067,14.0637614053993,0,0.2,0,NA,NA,1,0,0
"81","Adult N. Ele. Seal",0.0602530459627238,-1,0.221992036025751,14.22695961197,0,0.2,0,NA,NA,1,0,0
"82","Fur seals",0.00668360792850293,-1,0.103407477754118,50.6832255112528,0,0.2,0,NA,NA,1,0,0
"83","Blue whale",0.4697828263969,-1,0.0349358181891778,5.57458761321253,0,0.2,0,NA,NA,1,0,0
"84","Gray whale",1.17867234396062,-1,0.0498787539386815,11.9728194715486,0,0.2,0,NA,NA,1,0,0
"85","Dolphins",0.055963046521709,-1,0.0892386434597141,31.3758732963965,0,0.2,0,NA,NA,1,0,0
"86","Brandt's corm.",0.000662207116673475,-1,0.276580566112042,140.653468538005,0,0.2,0,NA,NA,1,0,0
"87","Double corm.",0.000354065319709489,-1,0.157618342455337,156.417755003736,0,0.2,0,NA,NA,1,0,0
"88","Pelagic cormorant",0.000262103238910578,-1,0.148394820426298,137.002213345973,0,0.2,0,NA,NA,1,0,0
"89","Murrelet",2.81439901375008e-05,-1,0.151862134322627,252.26148453425,0,0.2,0,NA,NA,1,0,0
"90","Pigeon Guillemot",0.00012689585238132,-1,0.237808439601462,202.627770073725,0,0.2,0,NA,NA,1,0,0
"91","Caspian tern",0.000100738409881843,-1,0.120893113065731,174.467802671793,0,0.2,0,NA,NA,1,0,0
"92","Brown Pelican",0.000323644187266039,-1,0.218561687645291,134.827021759728,0,0.2,0,NA,NA,1,0,0
"93","Detritus",10,-1,0,0,2,0.2,0,NA,0,0,0,0
"94","Fleet1",NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
