"","DIETS","phytoplankton","infauna","amphipods","epibenthic","micro-zoop","copepods","euphausiids","carniv-zoops","small jellies","large jellies","pandalid shp","benthic shp","Dungeness","tanner crb","mesopelagics","Benthic fish","surf perch","Other cephal.","Market squid","Sardine","Anchovy","Herring","Pacific Mackerel","Sandlance","White bait smelt","Other smelt","Saury","Juv. rock.","Juv. hake","Juv. flat.","Juv. round.","Juv. thorny.","Yellowtail rock.","Black rock.","Nearshore rock.","Yelloweye rock.","Greenstriped","Shelf rock.","Shortbelly","Petrale sole","Halibut","Hake","Lingcod","Arrowtooth","Sablefish","Albacore","Salmon","Grenadiers","Dogfish","Canary rock.","P. Ocean Perch","Widow rock.","Splitnose rock.","Slope rock.","Shortspine thorny.","Longspine thorny.","Flatfish","Skates","Sharks","Common murre","Cassin's auklet","Rhino. auklet","Tufted Puffin","Cali. gull","Western Gull","Kittiwake","Albatross","Fulmar","Shearwater","Leach's S. Petrel","Transient Orcas","Resident Orcas","Porpoises","Humpback whale","Minke whale","Fin whale","Sperm whale","Harbor seals","Sea Lions","Juv. Ele. Seal","Adult N. Ele. Seal","Fur seals","Blue whale","Gray whale","Dolphins","Brandt's corm.","Double corm.","Pelagic cormorant","Murrelet","Pigeon Guillemot","Caspian tern","Brown Pelican"
"1","phytoplankton","0","0","0.160279618861585","0","0.734726876522476","0.852214832527004","0.897527412577045","0.0395075247916527","0.481359544339719","0","0","0","0","0","0","0","0","0","0","0.249993824443336","0.319986099588005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","infauna","0","0","0","0.39240746077862","0","0","0","0","0","0","0.240689706356298","0.35176431932403","0.412521197934951","0.773785555148239","0","0.2902696548193","0.392275492335257","0","0","0.001287304371055","0","0","0","0","0.0529336397094547","0.00438279134602454","0","0.0038322737144466","0","0.575934547138786","0","0","0","0","0.0340915195128356","0","0","0.00290724210373046","0","0","0.00201297412536413","0.00396027861638445","0","0.00191078410851906","0.0194927797945736","0","0","0.154888191787254","0","0","0","0","0","0","0.0578353572837939","0.163402015253252","0.786630635836493","0.0258329423035223","0","0","0","0","0.00793471342047324","0","0.00150873510628115","0","0.000023072075975375","0","0.0271699781014049","0.0117921740528135","0","0","0","0","0","0","0","0","0","0","0","0","0","0.010495496535832","0","0.0075989957857962","0","0.00161067933080657","0","0","0","0"
"3","amphipods","0","0","0","0.0273159311135713","0","0","0","0.0188493145972486","0","0","0.0228258350558004","0.0438039104592125","0.0306388978500671","0","0.0398367158541852","0.183044673779817","0.0754006745132003","0.0786067443423282","0.00455864906012522","0.00365420873382916","0","0.0475246806977543","0.00629933781666501","0.385660803915241","0.00619784128238455","0.185348225572719","0.0236061647577843","0.00638236033146139","0.00220250729833717","0.197628234980926","0.0136058440690696","0","0.00229586450087462","0.010435584915821","0.000805879544758679","0","0.0016192206911221","0.00730300376419694","0.053386406606315","0.00767364906713542","0","0","0","0.000263947188615458","0.000366976948497921","0","0.0132400683658907","0.0484518012440565","0.00191877363924198","0.000949162492850646","0.0408189966005579","0.0295873853617058","0.0185594441546677","0.0158969732149388","0.0471183495909049","0.0300144852298046","0.0585935284976996","0.00757001024533938","0","0","0.0174297384327192","0","0.000394170153315959","0.0041058694317134","0","0","0","0.0253524979595364","0.000573127993279941","0.0176366053082088","0","0","0","0","0.00960114801297637","0","0","0","0","0","0","0","0","0.649437960284821","0","0","0","0","0","0","0","0"
"4","epibenthic","0","0","0","0","0","0","0","0","0","0","0.0502426899799853","0.412121861450489","0.182920063438297","0.123812878645179","0","0.40775177318412","0.173380076775531","0.00389055511177822","0","0","0","0.00352698328719483","0.0471100791140699","0","0.272879635330483","0.225873815873954","0","0.0191416553518543","0.00955917859926558","0.200472470445378","0","0","0.00370194813067814","0.0251713014008955","0.0619207750430191","0.166633527078397","0.0529316666533779","0.0462978220297456","0","0.143026341397851","0.0193567878449053","0.00248598771755092","0.0438093735415772","0.0238509846711306","0.0426808657898554","0","0","0.15272569439259","0.0352230950929457","0","0.00435883771375095","0","0.00134070651606881","0.0202168552182136","0.065442557079796","0.211182077626252","0.121780724183175","0.120875076880515","0.00545929968682473","0","0.00354636375059273","0","0","0","0.00800660586028167","0","0","0","0.00198727000563583","0.00145939728952175","0","0","0","0","0.00516919250145784","0","0","0.0342595455228804","0.00831765012558048","0","0.0439852988809297","0","0","0.0139064230668125","0","0","0","0","0","0","0","0"
"5","micro-zoop","0","0","0","0","0","0.147785167472996","0.0558354142338246","0.0326771059792318","0.291346506970367","0.0176442149258911","0","0","0","0","0","0","0","0","0","0.00964867327730365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","copepods","0","0","0","0","0","0","0.0466371731891303","0.475523322317343","0","0.232239734261786","0.110840141350755","0","0","0","0.305846440633972","0","0.270395549922378","0.0932270947823474","0.0167917814860248","0.325139626796912","0.139976176028724","0.17441076547329","0.143155124616618","0.251911286986647","0.00721558330718473","0.141206121772806","0.0448354688506688","0.400508533899615","0.074436991227133","0","0.826302973386434","0.214965655339806","0","0","0","0","0.0046406110539953","0.0158176403252946","0.0779420608265306","0","0","0","0","0","0","0","0.027377673757057","0","0","0","0","0.00252307990023408","0.000741170575273846","0","0","0","0.00360253337100336","0","0","0","0.379746627717616","0","0.0130250429292168","0","0","0","0","0.0302806898149908","0","0.00199649224693756","0","0","0","0","0.0130930861119255","0.0119566119626863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","euphausiids","0","0","0","0","0","0","0","0.361347492773838","0","0.668759652519567","0.194817574378693","0","0","0","0.496490649633024","0","0","0.528133728148082","0.225729445003349","0.394633504837132","0.424391206620357","0.670515947415629","0.633066557857999","0.251300362401532","0.288591438535573","0.149470617574091","0.651660335930006","0.439750694381644","0.81915452706498","0","0.112208305890776","0.477676252528916","0.559412629227384","0.245836994684992","0.0839591119038609","0","0.147715808181284","0.507764358928706","0.827653556049575","0.00317859416068747","0","0.711180031961114","0.000805051683475742","0.0614999528115194","0.0868930129488315","0.00370895076149322","0.155324760332282","0","0.211945583548557","0.9149347208177","0.755372372350882","0.310420063749709","0.7769704922417","0.70370145871884","0","0","0.00425024245912067","0.0500232442509001","0.0136206087027573","0.00973280204933162","0.402696968402413","0.10293418996951","0.0572649108320501","0","0.0102977189478744","0.00564992894098272","0","0.0169009153222435","0.059315539307419","0.306211038091625","0","0","0","0.303643350186172","0.535485817740362","0.775152186173683","0","0","0","0","0.00240776146828506","0","0.505412204690391","0.0000140576511034242","0","0","0","0","0.127691633437342","0","0","0"
"8","carniv-zoops","0","0","0","0","0","0","0","0","0","0.00947190437848688","0.0335860939915468","0","0","0","0.0616457573491686","0","0","0.159568231936931","0.631669706036992","0.00180545871112569","0.0174894165010388","0.0779900174449063","0.0135421786605112","0.101970551057859","0.287964748397989","0.147403454054941","0","0.00236317068171724","0.00974320734205273","0","0.0259231487104672","0.224970171236484","0.0245095702121916","0.104714470742198","0.096819836117406","0","0.361945256924761","0.00959848925040976","0.0410179765175794","0","0","0.0217010568023496","0.00867882654215196","0.00113659618395582","0.0125992761064439","0.00357817142102512","0.188683626436821","0","0.00573919839298199","0.00807555383928909","0.0716974695565464","0.196984431809716","0.160249555722668","0.0486686443892255","0.0085468726369402","0","0.00162625586599588","0.00685062649353548","0","0","0.0028979980616916","0","0","0","0","0","0.0035514639584302","0","0","0","0","0","0","0","0.0227278115888715","0.00911466747927925","0","0","0","0","0.00760077518516346","0","0","0.0141894274567364","0.0455075589210932","0","0","0.0035192617751521","0.0415264466914676","0","0","0"
"9","small jellies","0","0","0","0","0","0","0","0.0531178451660772","0","0.0718844939142691","0","0","0","0","0.0468460018479842","0","0","0.108582119704981","0.0112397259683197","0.0101118444644428","0.0918404976146502","0.00494736384187919","0.0179792378759992","0","0","0.0688665972985674","0","0.000475761311407688","0","0","0","0.0823879208947935","0.0692932905961705","0.0191039928877155","0.138467872265295","0","0","0","0","0","0","0","0","0","0.0425058361310569","0","0.00869272683613907","0","0","0.00263197232321136","0","0.318812717781811","0","0","0.00512746822344783","0.00774271561629026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00333673771195392","0","0","0","0","0.0245688630511782","0.013977452862722","0","0","0","0","0","0","0","0","0","0","0"
"10","large jellies","0","0","0","0","0","0","0","0.0189773943746085","0","0","0","0","0","0","0.025630931327842","0","0","0","0.0730146594904541","0","0","0","0.011518373933932","0","0","0.0455225770966158","0","0","0","0","0","0","0.00532437636027457","0.0351424153981441","0.112611547184051","0","0","0","0","0","0","0","0","0","0.0231300825301439","0","0.0015545963623371","0","0.0539304467601199","0","0","0.0393716530640928","0","0.00421501841126399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00138942690989974","0.230618364134358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
