"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.584129714523442,126.52733849929,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.862202754616737,2.02376064409782,12.5396102124231,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.794812015816569,4.55926386161735,26.2001452151501,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.862637055758387,2.88445931067106,7.34230093638378,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.621316859126091,71.8748400441616,366.697464611434,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.899608765356243,14.1546929237692,62.6991396742043,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.715465936809778,9.6645751580532,32.7270058950875,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.712530695647001,2.01161419693312,9.8914640216959,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.814218014385551,9.05061703989097,30.8875316403985,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.763725602906197,3.29103885367569,11.33068441081,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.661748245637864,1.88253601001908,9.80236897977448,0,0.2,0,NA,NA,1,0.0980434549898756,0
"12","benthic shp",-1,0.503900188207626,2.63341687678606,12.0097418604397,0,0.2,0,NA,NA,1,9.93373936473474e-05,0
"13","Dungeness",-1,0.621464864909649,0.684373637084023,3.15183248828785,0,0.2,0,NA,NA,1,0.102835624820135,0
"14","tanner crb",-1,0.702371423970908,0.286950699422309,1.90826074180838,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",14.2367653247084,-1,0.486616599412855,2.79082570157914,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.807920029852539,0.507855294623392,2.48759873320466,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.699990062322468,1.20619541486156,5.51392249301432,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.702839662320912,1.26576641606614,6.81020977339005,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.540039655286819,3.46080469514895,8.59174705327829,0,0.2,0,NA,NA,1,0.225182492435711,0
"20","Sardine",3.32751930458399,-1,0.524323611637041,3.16947963644809,0,0.2,0,NA,NA,1,0.461128654215232,0
"21","Anchovy",1.23078620232294,-1,1.2051639321243,3.8668952160807,0,0.2,0,NA,NA,1,0.0374453819279425,0
"22","Herring",0.74722391708753,-1,2.0622893094235,7.4101935258543,0,0.2,0,NA,NA,1,0.00647482081290353,0
"23","Pacific Mackerel",0.374132764254642,-1,0.551236460996413,6.3729257421122,0,0.2,0,NA,NA,1,0.0264852596058188,0
"24","Sand lance",-1,0.770499403867871,0.969941240326372,3.6348896571946,0,0.2,0,NA,NA,1,0,0
"25","Whitebait smelt",0.0752375172218989,-1,1.39900968113588,4.98684607197427,0,0.2,0,NA,NA,1,0,0
"26","Other smelt",-1,0.88915818342939,1.44805255379635,9.1955552256836,0,0.2,0,NA,NA,1,0,0
