"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.658998693106696,133.660215489305,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.685372757166624,2.45872840308903,10.8296055818349,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.602228444162756,3.28771606785418,21.1060685083733,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.727002319786698,2.36544474241878,8.37780126929591,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.531271080859005,92.8656335743263,309.151249045222,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.890710956323892,12.4681831892799,67.6097288027216,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.793602360319346,6.21209750276304,39.1390358699295,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.711988708097488,2.41467543787854,8.76455013894808,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.698971179127693,7.95488729250748,46.8015580252346,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.571057418081909,2.59049269647846,9.74033797650079,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.535270476993173,2.17132397346291,12.2893608381424,0,0.2,0,NA,NA,1,0.105839516505941,0
"12","benthic shp",-1,0.604778188560158,2.00454938154416,18.6988393159348,0,0.2,0,NA,NA,1,8.518138101335e-05,0
"13","Dungeness",-1,0.66211823541671,0.732423942473587,2.90955851745049,0,0.2,0,NA,NA,1,0.0931026690289507,0
"14","tanner crb",-1,0.632250342797488,0.300965994474135,1.63293055567265,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",15.0517757848452,-1,0.692894951472644,2.85540255813847,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.572363516688347,0.518685356873026,2.53022301405522,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.795141016691923,1.31609881089648,5.84847174957057,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.67216017190367,2.62081236975914,7.27900044707013,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.851358331553638,2.22457275937099,9.95781847794196,0,0.2,0,NA,NA,1,0.30465973786563,0
"20","Sardine",3.06189880890315,-1,0.541819783414661,4.69532833302212,0,0.2,0,NA,NA,1,0.451581448227466,0
"21","Anchovy",1.55772183163601,-1,1.14229745666395,7.74982236632715,0,0.2,0,NA,NA,1,0.0357241550013901,0
"22","Herring",1.18623671723308,-1,1.44406177245745,6.25208800126432,0,0.2,0,NA,NA,1,0.00627008114469909,0
