"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.26864789868705,140.019294354358,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.689734734874219,2.80401595926253,11.9450244884388,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.713759447541088,3.67459600430452,23.2076944645578,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.701264203060418,2.41117400208177,8.70746968533572,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.86463811211288,80.2747205182013,307.38622269586,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.644385018385947,13.062883349878,50.0332810410848,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.625344248302281,7.35209989712955,40.5422356565644,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.676550690829754,1.72275001200779,10.8125284548763,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.582178019825369,8.03672101115446,34.388011219017,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.766804179921746,3.13043866500829,16.096932565573,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.564481434226036,2.09843575739533,9.6087505153041,0,0.2,0,NA,NA,1,0.118965186205639,0
"12","benthic shp",-1,0.643219543155283,2.1139820026684,10.2547783040034,0,0.2,0,NA,NA,1,0.000109480897034955,0
"13","Dungeness",-1,0.770160978473723,0.814970217776468,3.93794841229629,0,0.2,0,NA,NA,1,0.0893924123299671,0
"14","tanner crb",-1,0.813896228931844,0.309693716396117,1.62637229485683,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",8.20876159748815,-1,0.532616141750827,3.53390318740008,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.605078583210707,0.460615383510967,3.02111754433537,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.884846451319754,1.45050526462187,4.93913482868586,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.814014869835228,1.87679315394677,6.08438271335717,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.707532190158963,2.60449611972523,10.3455172999764,0,0.2,0,NA,NA,1,0.238439194442931,0
"20","Sardine",3.84125069474019,-1,0.495744051910172,4.35812377101484,0,0.2,0,NA,NA,1,0.431824141649019,0
"21","Anchovy",1.49249473494227,-1,1.08793451216338,6.13685039095682,0,0.2,0,NA,NA,1,0.0431346019779008,0
"22","Herring",0.727255957092195,-1,1.71670004445377,8.89587402276524,0,0.2,0,NA,NA,1,0.0059412037902196,0
"23","Pacific Mackerel",0.543836390711275,-1,0.479631253167608,5.4492032961476,0,0.2,0,NA,NA,1,0.0260645702442917,0
"24","Sand lance",-1,0.51800389373675,1.16240085110357,4.57393414848484,0,0.2,0,NA,NA,1,0,0
"25","Whitebait smelt",0.101464082899037,-1,1.46098672198041,7.62601962471187,0,0.2,0,NA,NA,1,0,0
"26","Other smelt",-1,0.889222765620798,1.51699452768548,4.34803432806138,0,0.2,0,NA,NA,1,0,0
"27","Saury",1.54543915498408,-1,1.33029614821106,2.78348189220076,0,0.2,0,NA,NA,1,0,0
