"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.264636282227002,120.632442332147,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.519885326270014,2.40072042397133,10.2894515875869,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.848394942469895,3.76583835916369,24.9389116196929,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.864238463249058,1.91299598711273,8.08528227161683,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.660961710102856,118.664680085357,219.445214793668,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.546620443090796,12.5895340848875,67.365371199912,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.868117098603398,9.39609576279526,42.2434322679301,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.875694696512073,2.41732306351529,9.54631372791852,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.536036715004593,9.46918862606622,29.5548006436261,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.793516704253852,3.30965307784071,11.6689534746405,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.777590016648173,1.64369036445589,7.64942226785959,0,0.2,0,NA,NA,1,0.123978323910631,0
"12","benthic shp",-1,0.887260491866618,2.00978542440333,13.0402688233865,0,0.2,0,NA,NA,1,8.75886176746264e-05,0
"13","Dungeness",-1,0.844880627747625,0.766998346621168,4.24453883947335,0,0.2,0,NA,NA,1,0.078280492407885,0
"14","tanner crb",-1,0.507497921679169,0.2723206794328,1.27774791114605,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",8.39065624216341,-1,0.71081199833447,2.91086763821307,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.733492786530405,0.402165662216126,2.11621697687256,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.745064413547516,1.2985138562494,7.87772222377555,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.826158455107361,1.62594878434966,6.21047326783611,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.696791546791792,2.13889948195371,12.8081026928804,0,0.2,0,NA,NA,1,0.277054969432816,0
"20","Sardine",2.97884045407274,-1,0.532754432694869,5.48714724056603,0,0.2,0,NA,NA,1,0.414733652511919,0
"21","Anchovy",1.76763553549942,-1,1.23292689216825,5.3241569149039,0,0.2,0,NA,NA,1,0.0339928327184874,0
"22","Herring",0.678811279718563,-1,1.83550067256199,6.21864083550163,0,0.2,0,NA,NA,1,0.00662931753616882,0
"23","Pacific Mackerel",0.47281607588834,-1,0.55215366134283,5.46969872657833,0,0.2,0,NA,NA,1,0.0264326214084546,0
"24","Sand lance",-1,0.782114118058234,1.02276451886866,2.51523008872086,0,0.2,0,NA,NA,1,0,0
"25","Whitebait smelt",0.10564798006866,-1,1.08583762821712,7.01396356627604,0,0.2,0,NA,NA,1,0,0
"26","Other smelt",-1,0.779816857818514,1.57608702288744,8.50409244537693,0,0.2,0,NA,NA,1,0,0
"27","Saury",0.637431352541835,-1,1.43953773566662,3.8605203337063,0,0.2,0,NA,NA,1,0,0
"28","Juv. rock.",-1,0.70226548248902,1.15239437813647,5.2794491908971,0,0.2,0,NA,NA,1,0,0
"29","Juv. hake",-1,0.654321193508804,1.36341483152027,5.89340723924208,0,0.2,0,NA,NA,1,0,0
"30","Juv. flat.",-1,0.503022071160376,0.937063585667754,3.35577309147786,0,0.2,0,NA,NA,1,0,0
"31","Juv. round.",-1,0.560294971801341,1.97212979379092,3.48766237999636,0,0.2,0,NA,NA,1,0,0
"32","Juv. thorny.",-1,0.604439450148493,0.439855531335121,2.68633797242732,0,0.2,0,NA,NA,1,0,0
"33","Yellowtail rock.",0.501635979111396,-1,0.155188660677498,1.65417454543927,0,0.2,0,NA,NA,1,0.0149741922272227,0
"34","Black rock.",0.121024744335417,-1,0.123865606995827,1.90298708062211,0,0.2,0,NA,NA,1,0.00372369895769388,0
