"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.365131931728683,122.192471095497,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.865974192600697,2.29158962906075,7.33318608056619,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.852116404380649,2.10924134784726,21.5640975280251,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.788901165314019,2.44497728538974,9.63087239837281,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.52401987137273,74.4625925265602,291.453118919066,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.876401013508439,14.9843314389115,64.994542216634,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.708310206886381,8.55073139763574,45.0466325086903,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.70190239418298,1.98765238026197,8.01776151547933,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.754363919608295,11.5220604109131,27.9296052694492,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.670796224381775,3.12670944416064,12.3638122050935,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.780842242203653,1.89106820594215,8.04903156577219,0,0.2,0,NA,NA,1,0.097663620007965,0
"12","benthic shp",-1,0.558811614196748,2.61230403755887,14.3377424740931,0,0.2,0,NA,NA,1,9.23787450952014e-05,0
"13","Dungeness",-1,0.8875707520172,0.75153886147885,4.85339953137162,0,0.2,0,NA,NA,1,0.096978883664766,0
"14","tanner crb",-1,0.507405830919743,0.279952638101452,1.60856001376997,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",8.26594281574858,-1,0.751645603288645,2.92347045585745,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.502203391958028,0.498990781309695,1.90203023774149,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.893693979177624,1.60560900657997,4.95411224420602,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.808214929327369,1.49266071016873,4.83354151622086,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.818496829178184,3.25014025455923,8.34997770006861,0,0.2,0,NA,NA,1,0.254444345075628,0
"20","Sardine",3.14899103042168,-1,0.46874901660249,3.89636879756104,0,0.2,0,NA,NA,1,0.435576163454709,0
