"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.261408195830882,109.65215445673,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.888771492615342,2.46776472988693,13.0395930931174,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.541323841921985,3.54989486939205,23.765653454631,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.615524236578494,1.88873608336746,10.7675261471555,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.847876263968647,98.3951060689683,253.281818719324,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.594304287806153,14.3051905250901,43.2308133318806,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.771252281125635,9.37244199358491,41.3010091245865,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.573979913070798,2.5268084378553,8.49529675250409,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.769495190307498,8.70677940340363,32.7724437719549,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.543508951272816,2.22729055435861,11.6981939998481,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.659463779255748,1.91296612358549,10.9920549795507,0,0.2,0,NA,NA,1,0.105510495563512,0
"12","benthic shp",-1,0.864807870797813,2.50241885713417,11.9715458698112,0,0.2,0,NA,NA,1,9.34716092639807e-05,0
"13","Dungeness",-1,0.516510917898268,0.755346991153974,3.66039774705822,0,0.2,0,NA,NA,1,0.0997803303110408,0
"14","tanner crb",-1,0.613434745464474,0.237372875711714,2.00091889469559,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",8.25042405229837,-1,0.701685197663684,3.20534614181314,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.778953143116087,0.56575089378816,1.85276858657308,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.861768863908946,1.21758298886856,5.57807957197118,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.564324907306582,2.08399318957818,7.10444933108369,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.684300784301013,2.19415157152851,12.2903478887313,0,0.2,0,NA,NA,1,0.293569431381628,0
"20","Sardine",3.0890955303989,-1,0.516987616442187,6.16848966274739,0,0.2,0,NA,NA,1,0.495174669696703,0
"21","Anchovy",1.59092712882007,-1,1.01311680458921,6.94376937555983,0,0.2,0,NA,NA,1,0.0438565926663666,0
"22","Herring",0.620970562739072,-1,1.66945019192223,6.48361183806403,0,0.2,0,NA,NA,1,0.00596798793754716,0
"23","Pacific Mackerel",0.512978198337794,-1,0.517388986249047,5.11719689085165,0,0.2,0,NA,NA,1,0.0277085191108802,0
"24","Sand lance",-1,0.899657019600272,0.74866813114925,3.81484813823927,0,0.2,0,NA,NA,1,0,0
"25","Whitebait smelt",0.0851617218567857,-1,1.56334141293212,8.86070912520489,0,0.2,0,NA,NA,1,0,0
"26","Other smelt",-1,0.798410571645945,1.24819316476674,3.58607073194341,0,0.2,0,NA,NA,1,0,0
"27","Saury",0.365874901473587,-1,1.27929962959754,4.15604315242132,0,0.2,0,NA,NA,1,0,0
"28","Juv. rock.",-1,0.87394350618124,1.60718127583151,4.35161151934538,0,0.2,0,NA,NA,1,0,0
"29","Juv. hake",-1,0.538198772910982,1.81049195718641,5.78023751109519,0,0.2,0,NA,NA,1,0,0
"30","Juv. flat.",-1,0.768101328331977,0.748710628092499,4.08446585726307,0,0.2,0,NA,NA,1,0,0
"31","Juv. round.",-1,0.511234800517559,1.43644600860566,5.29990512769833,0,0.2,0,NA,NA,1,0,0
"32","Juv. thorny.",-1,0.674105834402144,0.383467642226801,1.40815431162132,0,0.2,0,NA,NA,1,0,0
"33","Yellowtail rock.",0.618435275614719,-1,0.136460492953446,1.72361089883536,0,0.2,0,NA,NA,1,0.013076756842373,0
"34","Black rock.",0.120686875521325,-1,0.127092356754631,2.09774242301085,0,0.2,0,NA,NA,1,0.00297490550197879,0
"35","Nearshore rock.",0.078203592667218,-1,0.160192569873035,2.34081239207085,0,0.2,0,NA,NA,1,0.00182734573178894,0
"36","Yelloweye rock.",0.00758947091424673,-1,0.0533681042284454,2.06690605787287,0,0.2,0,NA,NA,1,4.10970231689706e-05,0
"37","Greenstriped",0.239319387871948,-1,0.152228927008634,2.35319761451026,0,0.2,0,NA,NA,1,0.000126780377693469,0
"38","Shelf rock.",0.362879929525045,-1,0.154097263106473,1.73436455766177,0,0.2,0,NA,NA,1,0.00159172250780593,0
"39","Shortbelly",0.447683051885035,-1,0.257668205655739,2.01455035571767,0,0.2,0,NA,NA,1,2.28553710967224e-08,0
"40","Petrale sole",0.074825402783718,-1,0.333079730369704,1.73347809517437,0,0.2,0,NA,NA,1,0.00526245970573259,0
"41","Halibut",0.168971349521542,-1,0.425430673167472,1.76638475182137,0,0.2,0,NA,NA,1,0.00304818351488864,0
"42","Hake",7.05447162233234,-1,0.432461504946829,1.46164221417039,0,0.2,0,NA,NA,1,0.908770230877976,0
"43","Lingcod",0.30189734100217,-1,0.277058450956564,2.49642101010016,0,0.2,0,NA,NA,1,0.00347357020974409,0
"44","Arrowtooth",0.428146776529947,-1,0.287227608954223,2.171536339301,0,0.2,0,NA,NA,1,0.0312488864677895,0
"45","Sablefish",0.910459279723472,-1,0.104934379800869,1.94183816213391,0,0.2,0,NA,NA,1,0.0251376004246416,0
"46","Albacore",0.0871393569623017,-1,0.423264434211128,7.54689530657006,0,0.2,0,NA,NA,1,0.0041970504564993,0
"47","Salmon",0.105390524938801,-1,2.17858791051244,7.13163675814212,0,0.2,0,NA,NA,1,0.0261107642420657,0
"48","Grenadiers",0.291440713750896,-1,0.175658113310668,0.930218474369626,0,0.2,0,NA,NA,1,0.000425439493369982,0
"49","Dogfish",0.720210141672047,-1,0.0669091392785024,3.18005012467953,0,0.2,0,NA,NA,1,0.00555786653090381,0
"50","Canary rock.",0.0864840008568784,-1,0.106438082944291,1.7636952621668,0,0.2,0,NA,NA,1,0.00213229391207647,0
"51","P. Ocean Perch",0.120887019590767,-1,0.0740543396616109,2.08873551363377,0,0.2,0,NA,NA,1,0.00194268303975435,0
"52","Widow rock.",0.239059292962983,-1,0.136933923810563,2.29034541010118,0,0.2,0,NA,NA,1,0.00467388770151239,0
"53","Splitnose rock.",0.335600665428804,-1,0.0828452861924943,1.86883442016341,0,0.2,0,NA,NA,1,0.0013143860400764,0
"54","Slope rock.",0.373582650182795,-1,0.0572654182353744,2.29767763492647,0,0.2,0,NA,NA,1,0.00344981452459953,0
"55","Shortspine thorny.",1.05294550210439,-1,0.0487133530976877,0.498544200824477,0,0.2,0,NA,NA,1,0.00291144484154136,0
"56","Longspine thorny.",0.364440528361179,-1,0.128276770747891,0.347898715965769,0,0.2,0,NA,NA,1,0.00277850103168912,0
"57","Flatfish",3.15412213438397,-1,0.395098318503345,2.33836027635186,0,0.2,0,NA,NA,1,0.0505609507372273,0
"58","Skates",0.33580879846072,-1,0.246815149945722,2.70558317698875,0,0.2,0,NA,NA,1,0.00447913859125354,0
"59","Sharks",-1,0.775918971095234,0.162104334275307,2.56613377853148,0,0.2,0,NA,NA,1,0.0022077999740327,0
"60","Common murre",0.00371236371597758,-1,0.0901559748616341,173.745200170421,0,0.2,0,NA,NA,1,0,0
"61","Cassin's auklet",0.00105151142979763,-1,0.231765742883182,248.057999029194,0,0.2,0,NA,NA,1,0,0
"62","Rhino. auklet",0.000212357888359591,-1,0.11439963072638,213.263741597338,0,0.2,0,NA,NA,1,0,0
"63","Tufted Puffin",0.000154042977784822,-1,0.0498764946782992,186.106022835175,0,0.2,0,NA,NA,1,0,0
"64","Cali. gull",0.00056273269014588,-1,0.114414121589224,189.473704566199,0,0.2,0,NA,NA,1,0,0
"65","Western Gull",0.0011704859045154,-1,0.14817409809156,172.761315734538,0,0.2,0,NA,NA,1,0,0
"66","Kittiwake",8.73147350001831e-05,-1,0.093298788075564,206.220023915585,0,0.2,0,NA,NA,1,0,0
"67","Albatross",0.000669391888477108,-1,0.0143906278768687,131.802988242834,0,0.2,0,NA,NA,1,0,0
"68","Fulmar",0.000207905699360278,-1,0.0376313512511809,188.979250619272,0,0.2,0,NA,NA,1,0,0
"69","Shearwater",0.00369216371906202,-1,0.0914197118499695,170.162394914684,0,0.2,0,NA,NA,1,0,0
"70","Leach's S. Petrel",0.000409306084095386,-1,0.133894717416144,399.385556452478,0,0.2,0,NA,NA,1,0,0
